USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
711060,94234,TOFINO AIRPORT,CA,BC,CYAZ,49.083,-125.767,24,19581202,20190303
720202,118,TILLAMOOK AIRPORT,US,OR,KTMK,45.417,-123.817,11.3,20050103,20190304
720272,94282,SKAGIT REGIONAL AIRPORT,US,WA,KBVS,48.467,-122.417,42.7,20060101,20190304
720365,24267,BROOKINGS AIRPORT,US,OR,KBOK,42.074,-124.29,139.9,20050802,20190303
720406,135,GNOSS FIELD AIRPORT,US,CA,KDVO,38.15,-122.55,1.2,20140731,20190304
720646,228,HALF MOON BAY AIRPORT,US,CA,KHAF,37.513,-122.501,20.1,20090717,20190304
720749,24255,WHIDBEY ISLAND NAS,US,WA,KNUW,48.35,-122.667,14.3,19960101,20190304
722208,4224,ORCAS ISLAND AIRPORT,US,WA,KORS,48.708,-122.911,9.5,20060101,20190304
722885,93197,SANTA MONICA MUNI AIRPORT,US,CA,KSMO,34.016,-118.451,53,20060101,20190304
722895,23243,LOMPOC AIRPORT,US,CA,KLPC,34.667,-120.467,26.8,20060101,20190304
722897,93206,SAN LUIS CO REGIONAL ARPT,US,CA,KSBP,35.237,-120.641,61,20060101,20190304
722900,23188,SAN DIEGO INTERNATIONAL AIRPORT,US,CA,KSAN,32.734,-117.183,4.6,19420101,20190304
722903,3131,MONTGOMERY FIELD AIRPORT,US,CA,KMYF,32.816,-117.139,127.1,20060101,20190304
722904,3178,BROWN FIELD MUNICIPAL ARPT,US,CA,KSDM,32.572,-116.979,157,20060101,20190304
722906,93112,NORTH ISLAND NAS,US,CA,KNZY,32.7,-117.2,7.9,19450401,20190304
722907,53143,GILLESPIE FIELD AIRPORT,US,CA,KSEE,32.826,-116.973,118,20060101,20190304
722909,93115,NAVAL AUXILIARY LANDING FD,US,CA,KNRS,32.567,-117.117,7.3,19730101,20190304
722910,93116,SAN NICOLAS ISLAND NAVAL OUTLYING FIELD,US,CA,KNSI,33.24,-119.458,153,19430616,20190304
722920,23191,CATALINA AIRPORT,US,CA,KAVX,33.405,-118.416,488.3,19430612,20190305
722925,93117,NALF/F. SHERMAN FLD ARPT,US,CA,KNUC,33.023,-118.588,55.5,19430610,20190304
722926,3154,MARINE CORPS AIR STATION,US,CA,KNFG,33.3,-117.35,22.9,19730102,20190304
722927,3177,MCCLELLAN-PALOMAR AIRPORT,US,CA,KCRQ,33.128,-117.279,100,20060101,20190305
722928,369,MCOLF CAMP PENDLETON RED BEACH AIRPORT,US,CA,KNXF,33.286,-117.456,27.1,20091029,20181218
722931,93107,MARINE CORPS AIR STATION,US,CA,KNKX,32.867,-117.133,145.4,20050401,20190304
722934,53121,OCEANSIDE MUNICIPAL ARPT,US,CA,KOKB,33.219,-117.349,8.5,20060101,20190304
722950,23174,LOS ANGELES INTERNATIONAL AIRPORT,US,CA,KLAX,33.938,-118.389,29.6,19440101,20190304
722955,3174,ZAMPERINI FIELD AIRPORT,US,CA,KTOA,33.803,-118.34,29.6,20060101,20190304
722956,3167,NRTHORP FLD/HATHRN MUNI AP,US,CA,KHHR,33.923,-118.334,19.2,20060101,20190304
722970,23129,LONG BEACH / DAUGHERTY FIELD / AIRPORT,US,CA,KLGB,33.812,-118.146,9.5,19430101,20190304
722975,53141,LOS ALAMITOS AAF AIRPORT,US,CA,KSLI,33.79,-118.052,10.7,20060101,20190304
722977,93184,J. WAYNE APT-ORANGE CO APT,US,CA,KSNA,33.68,-117.866,16.5,19400617,20190304
723762,93244,SANTA YNEZ AIRPORT,US,CA,KIZA,34.607,-120.076,204.5,20060105,20190304
723910,93111,POINT MUGU,US,CA,KNTD,34.117,-119.117,4,19730101,20190304
723925,23190,SANTA BARBARA MUNICIPAL AIRPORT,US,CA,KSBA,34.426,-119.843,2.7,19730101,20190304
723926,23136,CAMARILLO AIRPORT,US,CA,KCMA,34.217,-119.083,23.5,20050101,20190304
723927,93110,OXNARD AIRPORT,US,CA,KOXR,34.201,-119.207,11,19440401,20190304
723930,93214,VANDENBERG AFB,US,CA,KVBG,34.717,-120.567,112.5,20060101,20190304
723940,23273,SANTA MARIA PUB/CAPT G A HANCOCK AP,US,CA,KSMX,34.899,-120.449,73.8,19730101,20190304
723965,93209,PASO ROBLES MUNICIPAL ARPT,US,CA,KPRB,35.67,-120.628,246.9,19411201,20190304
724828,93241,NUT TREE AIRPORT,US,CA,KVCB,38.378,-121.958,33.2,20060101,20190304
724915,23259,MONTEREY PENINSULA AIRPORT,US,CA,KMRY,36.588,-121.845,50.3,20060101,20190304
724917,23233,SALINAS MUNI,US,CA,KSNS,36.664,-121.608,23.5,19410805,20100801
724927,23285,LIVERMORE MUNICIPAL ARPT,US,CA,KLVK,37.693,-121.814,119.8,20000101,20190304
724930,23230,METRO OAKLAND INTL AIRPORT,US,CA,KOAK,37.721,-122.221,1.8,19430101,20190304
724935,93228,HAYWARD AIR TERM,US,CA,KHWD,37.654,-122.115,14.3,20000101,20100731
724936,23254,CONCORD/BUCHANAN,US,CA,KCCR,37.992,-122.055,18.3,19730101,20100731
724937,23289,PALO ALTO AIRPORT OF SANTA CLARA COUNTY,US,CA,KPAO,37.467,-122.117,2.1,20060101,20190304
724938,93231,SAN CARLOS AIRPORT,US,CA,KSQL,37.517,-122.25,1.5,20060101,20190304
724940,23234,SAN FRANCISCO INTERNATIONAL AIRPORT,US,CA,KSFO,37.62,-122.365,2.4,19730101,20190304
